Conexion,Principal,Derivacion, Referencia ,Carga,link
5,4/0,2,PGXAS 448,90,https://www.powerground.com.co/product-page/pgxas-448-molde-para-union-en-x-horizontal-cables-cortados
5,250 MCM,250 MCM,PGXAS 449,90,https://www.powerground.com.co/product-page/pgxas-449-molde-para-union-en-x-horizontal-cables-cortados
5,250 MCM,4/0,PGXAS 450,90,https://www.powerground.com.co/product-page/pgxas-450-molde-para-union-en-x-horizontal-cables-cortados
5,250 MCM,2/0,PGXAS 452,90,https://www.powerground.com.co/product-page/pgxas-452-molde-para-union-en-x-horizontal-cables-cortados
5,250 MCM,1/0,PGXAS 453,150,https://www.powerground.com.co/product-page/pgxas-453-molde-para-union-en-x-horizontal-cables-cortados
5,250 MCM,2,PGXAS 455,150,https://www.powerground.com.co/product-page/pgxas-455-molde-para-union-en-x-horizontal-cables-cortados
6,2,2,PGXBL 2689,90,https://www.powerground.com.co/product-page/pgxbl-2689-molde-para-union-en-x-horizontal-pasante-cable-cable
6,1/0,1/0,PGXBL 2694,150,https://www.powerground.com.co/product-page/pgxbl-2694-molde-para-union-en-x-horizontal-pasante-cable-cable
6,1/0,2,PGXBL 2696,115,https://www.powerground.com.co/product-page/pgxbl-2696-molde-para-union-en-x-horizontal-pasante-cable-cable
6,2/0,2/0,PGXBL 2698,200,https://www.powerground.com.co/product-page/pgxbl-2698-molde-para-union-en-x-horizontal-pasante-cable-cable
6,2/0,1/0,PGXBL 2699,200,https://www.powerground.com.co/product-page/pgxbl-2699-molde-para-union-en-x-horizontal-pasante-cable-cable
6,2/0,2,PGXBL 2701,150,https://www.powerground.com.co/product-page/pgxbl-2701-molde-para-union-en-x-horizontal-pasante-cable-cable
6,4/0,4/0,PGXBL 2707,250,https://www.powerground.com.co/product-page/pgxbl-2707-molde-para-union-en-x-horizontal-pasante-cable-cable
6,4/0,2/0,PGXBL 2709,200,https://www.powerground.com.co/product-page/pgxbl-2709-molde-para-union-en-x-horizontal-pasante-cable-cable
6,4/0,1/0,PGXBL 2710,200,https://www.powerground.com.co/product-page/pgxbl-2710-molde-para-union-en-x-horizontal-pasante-cable-cable
6,4/0,2,PGXBL 2712,150,https://www.powerground.com.co/product-page/pgxbl-2712-molde-para-union-en-x-horizontal-pasante-cable-cable
6,250 MCM,250 MCM,PGXBL 2713,2-150,https://www.powerground.com.co/product-page/pgxbl-2713-molde-para-union-en-x-horizontal-pasante-cable-cable
6,250 MCM,4/0,PGXBL 2714,2-150,https://www.powerground.com.co/product-page/pgxbl-2714-molde-para-union-en-x-horizontal-pasante-cable-cable
6,250 MCM,2/0,PGXBL 2716,250,https://www.powerground.com.co/product-page/pgxbl-2716-molde-para-union-en-x-horizontal-pasante-cable-cable
6,250 MCM,1/0,PGXBL 2717,250,https://www.powerground.com.co/product-page/pgxbl-2717-molde-para-union-en-x-horizontal-pasante-cable-cable
6,250 MCM,2,PGXBL 2719,150,https://www.powerground.com.co/product-page/pgxbl-2719-molde-para-union-en-x-horizontal-pasante-cable-cable
7,"5/8""",2,PGGRS 503,90,https://www.powerground.com.co/product-page/pggrs-503-molde-para-union-varilla-terminal-cable-terminal
7,"5/8""",1/0,PGGRS 505,90,https://www.powerground.com.co/product-page/pggrs-505-molde-para-union-varilla-terminal-cable-terminal
7,"5/8""",2/0,PGGRS 506,90,https://www.powerground.com.co/product-page/pggrs-506-molde-para-union-varilla-terminal-cable-terminal
7,"5/8""",4/0,PGGRS 508,90,https://www.powerground.com.co/product-page/pggrs-508-molde-para-union-varilla-terminal-cable-terminal
7,"5/8""",250 MCM,PGGRS 509,115,https://www.powerground.com.co/product-page/pggrs-509-molde-para-union-varilla-terminal-cable-terminal
8,"5/8 """,2,PGGTS 545,90,https://www.powerground.com.co/product-page/molde-para-union-cable-varilla-pggts-545
8,"5/8""",1/0,PGGTS 547,90,https://www.powerground.com.co/product-page/molde-para-union-cable-varilla-pggts-547
8,"5/8""",2/0,PGGTS 548,115,https://www.powerground.com.co/product-page/molde-para-union-cable-varilla-pggts-548
8,"5/8""",4/0,PGGTS 550,115,https://www.powerground.com.co/product-page/molde-para-union-cable-varilla-pggts-550
8,"5/8""",250 MCM,PGGTS 551,150,https://www.powerground.com.co/product-page/molde-para-union-cable-varilla-pggts-551
9,2,PLATINA,PGHA 630,65,https://www.powerground.com.co/product-page/pgha-630-molde-para-union-cable-terminal-horizontal-a-platina
9,1/0,PLATINA,PGHA 7146,90,https://www.powerground.com.co/product-page/pgha-7146-molde-para-union-cable-terminal-horizontal-a-platina
9,2/0,PLATINA,PGHA 7075,90,https://www.powerground.com.co/product-page/pgha-7075-molde-para-union-cable-terminal-horizontal-a-platina
9,4/0,PLATINA,PGHA 6114,115,https://www.powerground.com.co/product-page/pgha-6114-molde-para-union-cable-terminal-horizontal-a-platina
9,250 MCM,PLATINA,PGHA 2200,115,https://www.powerground.com.co/product-page/pgha-2200-molde-para-union-cable-terminal-horizontal-a-platina
10,2,PLATINA,PGVV 1218,115,https://www.powerground.com.co/product-page/pgvv-1218-molde-para-union-cable-pasante-a-platina-vertical
10,1/0,PLATINA,PGVV 1220,200,https://www.powerground.com.co/product-page/pgvv-1220-molde-para-union-cable-pasante-a-platina-vertical
10,2/0,PLATINA,PGVV 1221,200,https://www.powerground.com.co/product-page/pgvv-1221-molde-para-union-cable-pasante-a-platina-vertical
10,4/0,PLATINA,PGVV 1223,250,https://www.powerground.com.co/product-page/pgvv-1223-molde-para-union-cable-pasante-a-platina-vertical
10,250 MCM,PLATINA,PGVV 1224,250,https://www.powerground.com.co/product-page/pgvv-1224-molde-para-union-cable-pasante-a-platina-vertical
